Datetime,Tweet Id,Text
2021-01-30 01:35:19+00:00,1355328706898579457,Few
2021-01-29 23:24:17+00:00,1355295732836626432,https://t.co/1g344ljYu4
2021-01-22 02:26:24+00:00,1352442460127936512,"First step for @bluesky was a review of existing work: https://t.co/DJMm2SeE5R

We’re now interviewing candidates who ideally will run a new non-profit Twitter Inc funds, yet doesn’t control.

The alternative is to fund an existing project (or do both). That’s the next decision. https://t.co/6k82TfN0WS"
2021-01-14 00:16:58+00:00,1349510784620003330,"I believe the internet and global public conversation is our best and most relevant method of achieving this. I also recognize it does not feel that way today. Everything we learn in this moment will better our effort, and push us to be what we are: one humanity working together."
2021-01-14 00:16:58+00:00,1349510783432941568,"It’s important that we acknowledge this is a time of great uncertainty and struggle for so many around the world. Our goal in this moment is to disarm as much as we can, and ensure we are all building towards a greater common understanding, and a more peaceful existence on earth."
2021-01-14 00:16:57+00:00,1349510782417920001,"This will take time to build. We are in the process of interviewing and hiring folks, looking at both starting a standard from scratch or contributing to something that already exists. No matter the ultimate direction, we will do this work completely through public transparency."
2021-01-14 00:16:57+00:00,1349510780043988992,We are trying to do our part by funding an initiative around an open decentralized standard for social media. Our goal is to be a client of that standard for the public conversation layer of the internet. We call it @bluesky: https://t.co/51or6OuNNv
2021-01-14 00:16:57+00:00,1349510779033174016,"The reason I have so much passion for #Bitcoin is largely because of the model it demonstrates: a foundational internet technology that is not controlled or influenced by any single individual or entity. This is what the internet wants to be, and over time, more of it will be."
2021-01-14 00:16:56+00:00,1349510777254756352,"Yes, we all need to look critically at inconsistencies of our policy and enforcement. Yes, we need to look at how our service might incentivize distraction and harm. Yes, we need more transparency in our moderation operations. All this can’t erode a free and open global internet."
2021-01-14 00:16:56+00:00,1349510776386580482,"This moment in time might call for this dynamic, but over the long term it will be destructive to the noble purpose and ideals of the open internet. A company making a business decision to moderate itself is different from a government removing access, yet can feel much the same."
2021-01-14 00:16:56+00:00,1349510775426019328,This concept was challenged last week when a number of foundational internet tool providers also decided not to host what they found dangerous. I do not believe this was coordinated. More likely: companies came to their own conclusions or were emboldened by the actions of others.
2021-01-14 00:16:55+00:00,1349510774461349888,"The check and accountability on this power has always been the fact that a service like Twitter is one small part of the larger public conversation happening across the internet. If folks do not agree with our rules and enforcement, they can simply go to another internet service."
2021-01-14 00:16:55+00:00,1349510772871766020,"Having to take these actions fragment the public conversation. They divide us. They limit the potential for clarification, redemption, and learning. And sets a precedent I feel is dangerous: the power an individual or corporation has over a part of the global public conversation."
2021-01-14 00:16:55+00:00,1349510771928010753,"That said, having to ban an account has real and significant ramifications. While there are clear and obvious exceptions, I feel a ban is a failure of ours ultimately to promote healthy conversation. And a time for us to reflect on our operations and the environment around us."
2021-01-14 00:16:55+00:00,1349510770992640001,"I believe this was the right decision for Twitter. We faced an extraordinary and untenable circumstance, forcing us to focus all of our actions on public safety. Offline harm as a result of online speech is demonstrably real, and what drives our policy and enforcement above all."
2021-01-14 00:16:54+00:00,1349510769268850690,"I do not celebrate or feel pride in our having to ban @realDonaldTrump from Twitter, or how we got here. After a clear warning we’d take this action, we made a decision with the best information we had based on threats to physical safety both on and off Twitter. Was this correct?"
2021-01-13 04:27:06+00:00,1349211345615421440,@bitcoinzay 🙏🏼
