bleu,rouge_l,meteor,bertscore
4.0703333795277565,0.2007722007722008,0.2667180478166498,0.5929490327835083
0.3397829029065065,0.0686274509803921,0.1727374188311688,0.5834705233573914
0.6224371496211717,0.0747663551401869,0.2874887589928058,0.5779042840003967
0.5818347491914113,0.2394366197183098,0.3466415818709973,0.6926271915435791
0.6350036824076131,0.3134328358208955,0.4317226541733122,0.7192456126213074
0.661584032249491,0.167487684729064,0.4433451922608314,0.6472669839859009
0.6094485407252916,0.1935483870967742,0.3524580416856315,0.6642789840698242
0.2958707844991411,0.203125,0.3766150409668929,0.6598629355430603
0.2854047201522976,0.056338028169014,0.1744406522563519,0.630878210067749
0.3294265731236133,0.4081632653061224,0.6055386471903367,0.7327211499214172
0.923776853735869,0.3494623655913978,0.3322257039835164,0.696694016456604
0.0,0.0452488687782805,0.1799256505576208,0.5742053985595703
0.5434836396999349,0.2540983606557377,0.3820412299433279,0.6286364197731018
0.3814787411598466,0.2890625,0.3050637901376146,0.6830782294273376
0.2956766888461191,0.1421800947867298,0.4488754615642834,0.5841949582099915
0.57908180347001,0.1452991452991452,0.3002738654147104,0.6277192831039429
0.3219889955286176,0.087719298245614,0.1807307525010874,0.6247712969779968
0.3782257586931021,0.2358490566037735,0.4937751727910099,0.6820120811462402
1.0493938401363463,0.3157894736842105,0.2597734729865478,0.7330399751663208
0.6308328380464402,0.2571428571428571,0.3215518667678204,0.6952698230743408
0.8330795480839793,0.3114754098360655,0.4125589629791311,0.6931970715522766
0.6742391556524248,0.3989898989898989,0.3130339566336967,0.7394464612007141
0.3447690877314923,0.0693641618497109,0.1958280119199659,0.5691659450531006
0.350893376505466,0.0203045685279187,0.0341296928327645,0.5381599068641663
0.6424290025888386,0.2857142857142857,0.4643983362590978,0.6900442838668823
0.276149954159602,0.0782122905027933,0.2756321652166842,0.577924907207489
0.29830243163304,0.1403508771929824,0.2270683453237409,0.6289107799530029
0.5492302509563461,0.1260504201680672,0.2837303442839775,0.6036280393600464
